date,y
2024-01-01,1007.62
2024-01-08,1007.01
2024-01-15,1078.4
2024-01-22,1098.46
2024-01-29,1027.84
2024-02-05,1032.87
2024-02-12,1048.32
2024-02-19,1013.63
2024-02-26,1000.82
2024-03-04,968.73
2024-03-11,1013.7
2024-03-18,1026.48
2024-03-25,1035.31
2024-04-01,1094.85
2024-04-08,1111.37
2024-04-15,1104.82
2024-04-22,1150.83
2024-04-29,1119.31
2024-05-06,1154.06
2024-05-13,1110.55
2024-05-20,1083.58
2024-05-27,1050.88
2024-06-03,1087.28
2024-06-10,1054.52
2024-06-17,1062.99
2024-06-24,1091.52
2024-07-01,1375.97
2024-07-08,1410.58
2024-07-15,1443.94
2024-07-22,1462.86
2024-07-29,1516.19
2024-08-05,1426.32
2024-08-12,1398.79
2024-08-19,1361.43
2024-08-26,1379.97
2024-09-02,1381.93
2024-09-09,1346.64
2024-09-16,1343.23
2024-09-23,1375.65
2024-09-30,1459.52
